anime_id;Name;Score;Genres;English name;Japanese name;sypnopsis;Type;Episodes;Aired;Premiered;Producers;Licensors;Studios;Source;Duration;Rating;Ranked;Popularity;Favorites;Watching;Completed;On-Hold;Dropped;Members
67;Basilisk: Kouga Ninpou Chou;758;Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy;Basilisk;バジリスク 甲賀忍法帖;For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms. Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war. Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each other and duty to their clans, Gennosuke and Oboro must ultimately decide the fate of their clans.;TV;24;Apr 13, 2005 to Sep 21, 2005;2005;GDH, Kodansha, Sotsu Music Publishing;Funimation;Gonzo;Manga;24 min. per ep.;R - 17+ (violence & profanity);13250;940;1467;6964;82153;6380;6957;156661
68;Black Cat (TV);738;Sci-Fi, Adventure, Comedy, Super Power, Shounen;Black Cat;ブラックキャット;"Completing every job with ruthless accuracy, Train Heartnet is an infamous assassin with no regard for human life. Donning the moniker ""Black Cat"" in the underground world, the elite killer works for the powerful secret organization known only as Chronos. One gloomy night, the blasé gunman stumbles upon Saya Minatsuki, an enigmatic bounty hunter, and soon develops an odd friendship with her. Influenced by Saya's positive outlook on life, Train begins to rethink his life. Deciding to abandon his role as the Black Cat, he instead opts to head down a virtuous path as an honest bounty hunter. However, Chronos—and particularly Creed Diskenth, Train's possessive underling—is not impressed with Train's sudden change of heart and vows to resort to extreme measures in order to bring back the emissary of bad luck. This assassin turned ""stray cat"" can only wander so far before the deafening sound of gunfire rings out.";TV;23;Oct 7, 2005 to Mar 31, 2006;2005;GDH, Dentsu, TBS, Sotsu Music Publishing;Funimation;Gonzo;Manga;24 min. per ep.;PG-13 - Teens 13 or older;19650;622;1955;10510;142921;11736;11003;231668
71;Full Metal Panic!;765;Action, Military, Sci-Fi, Comedy, Mecha;Full Metal Panic!;フルメタル・パニック！;"Equipped with cutting-edge weaponry and specialized troops, a private military organization named Mithril strives to extinguish the world's terrorism and all threats to peace on earth. The organization is powered by the ""Whispered,"" individuals who possess intuitive knowledge and the remarkable ability to create powerful devices and machinery. Seventeen-year-old Sousuke Sagara, a sergeant working for Mithril, has been assigned to protect Kaname Chidori, a Whispered candidate. He is ordered to join her high school class and be as close to her as possible to prevent her from falling into enemy hands—that is, if he can safely blend in with their fellow classmates without revealing his true identity. Sousuke, who was raised on a battlefield and has very little knowledge of an average high school student's lifestyle, must adapt to a normal school life to safeguard Kaname. However, enemy forces have already begun making their move, and Sousuke is about to find out that the adversary coming for the Whispered girl may be a lot more familiar than he expects.";TV;24;Jan 8, 2002 to Jun 18, 2002;2002;Kadokawa Shoten;ADV Films, Funimation;Gonzo;Light novel;24 min. per ep.;R - 17+ (violence & profanity);11460;322;4417;17458;264665;16076;13806;411230
72;Full Metal Panic? Fumoffu;807;Action, Comedy, School;Full Metal Panic? Fumoffu;フルメタル・パニック? ふもっふ;It's back-to-school mayhem with Kaname Chidori and her war-freak classmate Sousuke Sagara as they encounter more misadventures in and out of Jindai High School. But when Kaname gets into some serious trouble, Sousuke takes the guise of Bonta-kun—the gun-wielding, butt-kicking mascot. And while he struggles to continue living as a normal teenager, Sousuke also has to deal with protecting his superior officer Teletha Testarossa, who has decided to take a vacation from Mithril and spend a couple of weeks as his and Kaname's classmate. (Source: ANN);TV;12;Aug 26, 2003 to Oct 18, 2003;2003;Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do;ADV Films, Funimation;Kyoto Animation;Light novel;24 min. per ep.;PG-13 - Teens 13 or older;4520;571;2988;5383;204041;4435;3533;254465
73;Full Metal Panic! The Second Raid;796;Action, Military, Mecha;Full Metal Panic! The Second Raid;フルメタル パニック！The Second Raid;"fter overcoming various tumultuous events, mercenary sergeant Sousuke Sagara of Mithril and ""Whispered"" school girl Kaname Chidori return to their normal high school lives. Sousuke continues his efforts to assimilate with the civilian population and manage his mission at the same time, while Kaname attempts to support his endeavors (even though his antics often drive her up a wall). However, as their lives calm, new problems begin to appear. The appearance of an independent terrorist organization known as Amalgam and internal conflicts within Mithril threaten to wreak unity into a series of failures and betrayals. And new, powerful Arm Slave models only worsen the situation when the world's peace is at stake. As Kaname and Sousuke face their own inner battles amidst life-threatening fights, will they be able to make the right choices and change their future?";TV;13;Jul 14, 2005 to Oct 20, 2005;2005;Kadokawa Shoten, Happinet Pictures;ADV Films, Funimation, Kadokawa Pictures USA;Kyoto Animation;Light novel;24 min. per ep.;R - 17+ (violence & profanity);5790;639;1358;4667;177524;3840;2271;227927
74;Gakuen Alice;765;Comedy, School, Shoujo, Super Power;Gakuen Alice;学園アリス;"kan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend! Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru. Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga.";TV;26;Oct 30, 2004 to May 14, 2005;2004;Aniplex, Sogo Vision;Nozomi Entertainment;Group TAC;Manga;25 min. per ep.;G - All Ages;11580;1640;1613;2495;57369;2843;2916;81446
75;Soukyuu no Fafner: Dead Aggressor;73;Action, Drama, Mecha, Military, Sci-Fi;Fafner of the Blue Sky;蒼穹のファフナーDead Aggressor;Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind. (Source: ANN);TV;25;Jul 5, 2004 to Dec 27, 2004;2004;TV Tokyo Music, King Records;Funimation, Geneon Entertainment USA;Xebec;Original;24 min. per ep.;PG-13 - Teens 13 or older;23480;2523;255;2179;16417;1849;1987;40602
76;Mahou Shoujo Lyrical Nanoha;742;Action, Comedy, Drama, Magic, Super Power;Magical Girl Lyrical Nanoha;魔法少女リリカルなのは;Nanoha Takamachi, an ordinary third-grader who enjoys spending time with her family and friends, rescues an injured ferret that she had dreamed about the night before. The next day, the ferret cries out to her telepathically, asking Nanoha to save him. The ferret reveals himself to be Yuuno Scrya, a mage from another world who is trying to collect the dangerous 21 Jewel Seeds that he accidentally scattered across the world. He enlists Nanoha's help, gifting her the magical wand Raising Heart, and teaches her how to become a powerful mage. Days later, after reclaiming a few of the Jewel Seeds, another mage appears: Fate Testarossa. Stronger than Nanoha, Fate refuses to divulge her reasons in trying to collect the Jewel Seeds. Nanoha senses a melancholy in her eyes, but Fate refuses to communicate. Directed by Akiyuki Shinbo, Mahou Shoujo Lyrical Nanoha is a story about the clash of emotions when goals collide.;TV;13;Oct 3, 2004 to Dec 26, 2004;2004;Starchild Records, Omnibus Japan;Geneon Entertainment USA;Seven Arcs;Original;25 min. per ep.;PG-13 - Teens 13 or older;18280;1550;1036;3287;47731;2865;2625;88890
77;Mahou Shoujo Lyrical Nanoha A's;799;Action, Comedy, Drama, Magic, Super Power;Magical Girl Lyrical Nanoha A's;魔法少女リリカルなのは エース;fter solving the incident of the scattered Jewel Seeds, Nanoha Takamachi happily returns to her everyday life, though now with added magic practice in the morning. Exchanging video messages with Fate Testarossa and the crew of the Arthra, Nanoha eagerly awaits the chance to speak with them in person again. But while studying in her room one day, Raising Heart suddenly calls out to Nanoha and warns her of an incoming attack! The attacker is a young girl named Vita, who calls herself a Belka Knight. She proves her strength by using an intelligent device with a mysterious cartridge system to quickly overwhelm Nanoha. Luckily, the Space-Time Administration Bureau is able to step in before she is completely crushed. Vita and her fellow knights Shamal, Signum, and Zafila are on a mission to steal magical power from mages in order to complete the Book of Darkness, one of the Lost Logia. For what sinister purpose are the knights after this Book of Darkness?;TV;13;Oct 2, 2005 to Dec 25, 2005;2005;Starchild Records, Omnibus Japan;Geneon Entertainment USA;Seven Arcs;Original;25 min. per ep.;PG-13 - Teens 13 or older;5510;2075;1014;1367;40165;1088;828;56981
79;Shuffle!;709;Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen;Shuffle!;SHUFFLE! (シャッフル!);In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him in the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel.;TV;24;Jul 8, 2005 to Jan 6, 2006;2005;Xebec, Lantis, Memory-Tech;Funimation;Asread;Visual novel;23 min. per ep.;R+ - Mild Nudity;32310;600;1572;10943;151944;9558;13227;240751
80;Mobile Suit Gundam;778;Action, Military, Sci-Fi, Space, Mecha;Mobile Suit Gundam;機動戦士ガンダム;"It is year 0079 of the Universal Century. Mankind has moved to space, living in colony clusters known as ""Sides."" One of these Sides declares itself the ""Principality of Zeon"" and declares war on the Earth Federation, the governmental body currently ruling Earth. Using powerful humanoid robots known as ""mobile suits,"" Zeon quickly gains the upper hand. Nine months into the conflict, the Earth Federation has developed its own powerful mobile suit called the Gundam. When Zeon launches an attack on the colony holding the Gundam, a 15-year-old civilian named Amuro Ray suddenly finds himself thrown into a conflict that will take him all across Earth and space, pitting him against the enemy's ace pilot, Char Aznable.";TV;43;Apr 7, 1979 to Jan 26, 1980;1979;Sotsu, Nagoya Broadcasting Network;Nozomi Entertainment, Bandai Entertainment;Sunrise;Original;25 min. per ep.;PG-13 - Teens 13 or older;8670;1427;1787;7737;52669;5473;3100;97216
85;Mobile Suit Zeta Gundam;792;Military, Sci-Fi, Space, Drama, Romance, Mecha;Mobile Suit Zeta Gundam;機動戦士Ζガンダム;It is Universal Century 0087, and the One Year War between the Earth Federation and Principality of Zeon is over. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have shown themselves to be no better than Zeon, spurring the creation of a rebellious faction called the Anti-Earth Union Group (AEUG). 17-year-old Kamille Bidan lives in the colony Green Noa, home to a Titan base. Kamille gets in trouble after assaulting a Titan officer, an event that coincides with an attack led by former Zeon ace Char Aznable, now known as AEUG pilot Quattro Bajeena. When Kamille steals a Titan's prototype Gundam, he soon finds himself in the middle of the dangerous conflict.;TV;50;Mar 2, 1985 to Feb 22, 1986;1985;Sotsu, Nagoya Broadcasting Network;Nozomi Entertainment, Bandai Entertainment;Sunrise;Original;24 min. per ep.;PG-13 - Teens 13 or older;6550;2159;1721;3912;32798;2628;1049;53822
86;Mobile Suit Gundam ZZ;666;Space, Comedy, Mecha, Military, Drama, Sci-Fi;Mobile Suit Gundam ZZ;機動戦士ガンダムZZ;In Universal Century 0088, the Anti-Earth Union Group (AEUG) has emerged victorious in its war with the Earth Federation's Titans at the cost of devastating losses. Neo-Zeon, the third faction in the war formerly known as Axis Zeon, remains as powerful as ever. Led by Newtype Haman Karn, Neo-Zeon has been implementing plans to take over both Earth and the space colonies. The AEUG flagship Argama heads to the Side 1 colony Shangri-La for repairs. Living in the colony is Judau Ashta, a 14-year-old junk dealer who is struggling to make enough money to put his younger sister through school. Upon the discovery of an escape pod containing a former Titans pilot, Judau and his friends are quickly led to the Argama in hopes of stealing a mobile suit which they can sell for a fortune. However, with the arrival of a Neo-Zeon ship seeking to defeat the Argama, Judau and his friends are dragged into to a conflict that will bring them across space and Earth.;TV;47;Mar 1, 1986 to Jan 31, 1987;1986;Sotsu, Nagoya Broadcasting Network;Nozomi Entertainment;Sunrise;Original;24 min. per ep.;PG-13 - Teens 13 or older;51110;2941;130;1647;18408;1354;917;30758
89;Mobile Suit Victory Gundam;676;Drama, Mecha, Military, Sci-Fi, Space;Mobile Suit V Gundam;機動戦士Vガンダム;In the year 153 of the Universal Century, the tyrannical Zanscare Empire has taken hostile control over Side 2, a space colony outside of Earth's orbit. Following in the footsteps of the long expired Principality of Zeon and the more recent Crossbone Vanguard, Zanscare rules over its subjects with cruelty, routinely using a large guillotine for public executions. Living in Central Europe, space immigrant Üso Ewin joins the League Militaire, a militia made up of civilians frustrated with the Earth Federation's inability to combat the Zanscare Empire. Üso's latent abilities as a psychic Newtype awaken and allow him to pilot the Victory Gundam, the only mobile suit capable of holding off the elite BESPA forces of the Zanscare Empire. Hoping to protect his best friend Shakti Kareen and locate his parents within the ranks of the Federation, Üso fights on with the Victory, striving to bring an end to the empire's reign.;TV;51;Apr 2, 1993 to Mar 25, 1994;1993;TV Asahi, Sotsu, Apollon;Nozomi Entertainment;Sunrise, Studio Deen;Original;24 min. per ep.;PG-13 - Teens 13 or older;46320;3588;95;1225;10068;1094;628;20794
90;Mobile Suit Gundam Wing;772;Action, Military, Sci-Fi, Space, Drama, Mecha;Mobile Suit Gundam Wing;新機動戦記ガンダムW;"The United Earth Sphere Alliance is a powerful military organization that has ruled over Earth and space colonies with an iron fist for several decades. When the colonies proclaimed their opposition to this, their leader was assassinated. Now, in the year After Colony 195, bitter colonial rebels have launched ""Operation Meteor,"" sending five powerful mobile suits to Earth for vengeance. Built out of virtually indestructible material called Gundanium Alloy, these ""Gundams"" begin an assault against the Alliance and its sub organization OZ. One Gundam, whose pilot has taken the name of the slain colony leader Heero Yuy, is forced to make a crash landing into the ocean after an atmospheric battle against OZ's ace pilot Zechs Marquise. Upon coming ashore, he is found by Relena Peacecraft, daughter of a peace-seeking politician, who witnesses Heero's descent to Earth. Although neither of them realize it yet, this encounter will have a profound impact on both their lives, as well as those on Earth and in space colonies.";TV;49;Apr 7, 1995 to Mar 29, 1996;1995;TV Asahi;Bandai Entertainment;Sunrise;Original;24 min. per ep.;PG-13 - Teens 13 or older;9840;1118;2538;5922;95155;5945;4411;132208
92;After War Gundam X;732;Sci-Fi, Adventure, Space, Drama, Mecha;After War Gundam X;機動新世紀ガンダムX;hen one space colony declared its independence from the Earth Federation, the devastating 7th Space War, an all-out war between Earth and space, resulted. The Federation responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the Space Revolutionary forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The Federation collapsed, but the Space Revolutionary Army was unable to invade the Earth in the aftermath of the colony drop. Fifteen years have passed. The year is now After War 0015, and a New Federation has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old Federation mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past.;TV;39;Apr 5, 1996 to Dec 28, 1996;1996;TV Asahi, Sotsu;Nozomi Entertainment;Sunrise;Original;24 min. per ep.;PG-13 - Teens 13 or older;22280;3043;189;1554;15987;1746;983;28862
93;Mobile Suit Gundam SEED;779;Action, Drama, Mecha, Military, Romance, Sci-Fi, Space;Mobile Suit Gundam SEED;機動戦士ガンダムSEED;In the year Cosmic Era 0071, the space colony Heliopolis remains neutral in the great war raging across the galaxy between Coordinators, human beings whose biological traits have been altered before birth, and Naturals, unaltered people who remain on the planet Earth. The Naturals' deep hatred of the Coordinators drove the advanced beings into space, seeking shelter in man-made colonies. Kira Yamato is a Coordinator and university student on Heliopolis, when his life is thrown into disarray as ZAFT, the military organization composed of rebellious Coordinators, attacks the colony in an effort to steal a set of five state-of-the-art military mobile suits known as Gundams. While ZAFT manages to make off with four of the mobile suits, Kira take control of the final Gundam, the Strike. Surviving the battle, Kira and his college friends join the crew of the Archangel, a ship run by the Earth Alliance, and the young soldiers experience the horrors of war and the loss that comes with it.;TV;50;Oct 5, 2002 to Sep 27, 2003;2002;Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa;Bandai Entertainment, NYAV Post;Sunrise;Original;24 min. per ep.;R - 17+ (violence & profanity);8500;1057;3584;4898;101920;4589;5021;140346
95;Turn A Gundam;77;Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha;∀ Gundam;∀ガンダム;"It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement. A boy named Rolan Cehack and two others are sent down to Earth for a reconnaissance mission. Rolan ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll."" To Rolan's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Rolan in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war.";TV;50;Apr 9, 1999 to Apr 14, 2000;1999;Sotsu, Fuji TV;Nozomi Entertainment;Sunrise, Nakamura Production;Original;24 min. per ep.;PG-13 - Teens 13 or older;10180;2714;760;2378;14651;2327;1448;35670
96;Mobile Fighter G Gundam;756;Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports;Mobile Fighter G Gundam;機動武闘伝Gガンダム;In the year Future Century 0060, the many countries that once comprised Earth's surface exist as separate colonies floating in space. Their home planet now uninhabitable, the ruler of all of the colonies is decided by their unanimous participation in the intergalactic Gundam Fight Tournament—a series of battles between the champions of each colony to determine who is most fit to reign over them all. Neo-Japan's champion is Domon Kasshu, a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother, a criminal who allegedly murdered their mother and made off with the Devil Gundam, a highly advanced weapon with the power to unleash mass destruction across the galaxy. In his quest to bring his sibling to justice, Domon travels from colony to colony, meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament. Armed with the strength of the Shining Gundam, Domon battles to uncover the truth behind his tortured childhood, suffering great betrayal and crushing blows on his quest toward personal and national triumph.;TV;49;Apr 1, 1994 to Mar 31, 1995;1994;TV Asahi, Sotsu;Bandai Entertainment;Sunrise;Original;24 min. per ep.;PG-13 - Teens 13 or older;13960;2109;896;2499;38653;2505;1607;55463
97;Last Exile;782;Action, Sci-Fi, Adventure;Last Exile;LAST EXILE（ラストエグザイル）;"In the world of Prester, flight is the dominant mode of transportation, made possible by Claudia Fluid: a liquidized form of the crystals that are produced on the planet. An organization known solely as ""the Guild"" has absolute authority over the skies, with a monopoly on the engines that make use of this fluid. Moreover, as ecological disasters destabilize the warring countries of Anatoray and Disith, the Guild also arbitrates in the disputes between the two. Caught in the middle of the conflict are Sky Couriers, piloting small, two-person vanships that fly freely through the sky. Last Exile follows the adventures of two teenagers who dream of surpassing their parents: Claus Valca, son of a famous vanship pilot, and Lavie Head, Claus' best friend and navigator. Their job as couriers entails passing through an air current called the Grand Stream that separates the hostile nations, which even standard airships struggle to survive. However, when they take on a high-rated delivery to bring an orphan girl named Alvis Hamilton to the battleship Silvana, they get dragged into a much greater conflict that pits them against the might of the Guild.";TV;26;Apr 8, 2003 to Sep 30, 2003;2003;GDH, Victor Entertainment, TV Tokyo Music;Funimation, Geneon Entertainment USA;Gonzo;Original;24 min. per ep.;PG-13 - Teens 13 or older;7950;995;1848;5943;77235;6541;5038;149528
98;Mai-HiME;746;Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai;My-Hime;舞-HiME;"Thirteen girls, each with the ability to materialize ""Elements"" and summon metallic guardians called ""Childs"" have been brought to Fuuka Academy to battle mysterious creatures called Orphans. Each with a different personality and background, they must decide who they truly care about and why they fight.";TV;26;Sep 30, 2004 to Mar 31, 2005;2004;Bandai Visual, TV Tokyo Music, Studio Zain;Funimation, Bandai Entertainment;Sunrise;Original;23 min. per ep.;PG-13 - Teens 13 or older;16980;1381;1262;3442;60321;3690;4215;101495
99;Mai-Otome;731;Comedy, Drama, Fantasy, Magic;My-Otome;舞-乙HiME;ka Yumemiya has traveled far in search of her goal: the prestigious Gualderobe Academy. This is the school where young girls are trained to become Otomes, protectors of royal leaders throughout the lands. Here, Arika makes plenty of friends, but some enemies know something about her past that she does not. Nevertheless, her spirit and determination will keep pushing her forward. Adapted from its predecessor, Mai-HiME, this series is not a direct sequel, but an alternate universe setting featuring some of the Mai-HiME cast (though with different personalities). (Source: ANN);TV;26;Oct 7, 2005 to Mar 31, 2006;2005;Bandai Visual, Lantis, TV Tokyo Music;Funimation, Bandai Entertainment;Sunrise;Original;24 min. per ep.;PG-13 - Teens 13 or older;23080;2370;333;1147;31335;1222;1598;46018
100;Shin Shirayuki-hime Densetsu Prétear;72;Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power;Prétear:The New Legend of Snow White;新白雪姫伝説プリーティア;Due to her father's remarriage, robust 16-year-old Himeno Awayuki moves into a large mansion with a beautiful garden—the quintessential dream house for any girl her age. However, much to Himeno's disappointment, her new stepfamily doesn't really seem to like her, as her stepmother often occupies herself with her father, her younger stepsister Mawata ignores her, and her other stepsister—the equally aged Mayune—tries to prank her at every opportunity. But Himeno doesn't have time to dwell into thoughts of hopelessness—her new life has now become involved with a group of seven magical boys known as the Leafe Knights, after they ask her to become a magical princess who can borrow their powers! Although Himeno accepts their request and becomes the Prétear, she feels doubtful in her abilities to protect the world and its Leafe, the source of energy for all life. Will Himeno be able to find happiness among her new family and also save the Earth from the enemy, the Princess of Disaster?;TV;13;Apr 4, 2001 to Jun 27, 2001;2001;Kadokawa Shoten, Rondo Robe;ADV Films, Funimation;Hal Film Maker;Manga;23 min. per ep.;PG-13 - Teens 13 or older;27850;2162;457;1607;33827;1504;1760;53508
101;Air;732;Slice of Life, Supernatural, Drama, Romance;Air;AIR;Yukito Kunisaki is on a journey in search of the Winged Maiden who was bound to the sky centuries ago, after hearing an old childhood tale from his mother. As Yukito shows his puppet show to people in an attempt to make some money, he finds himself in a small town in which he did not expect to stay very long. However, when he meets an unusual girl named Misuzu, things take a drastic turn as he is invited to stay with her. By staying in the quaint town, Yukito soon becomes friends with the locals. As he gets to know them better, he learns of their problems and decides to help, putting his search for the Winged Maiden on hold. With his search on hold, and his growing attachment to Misuzu and the small town, will Yukito ever find the Winged Maiden, or is she closer than he thought?;TV;12;Jan 7, 2005 to Mar 25, 2005;2005;Pony Canyon, TBS, Movic;ADV Films, Funimation;Kyoto Animation;Visual novel;24 min. per ep.;PG-13 - Teens 13 or older;22300;563;2704;7367;170036;8109;9992;259381
104;Ayashi no Ceres;723;Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo;Ceres, Celestial Legend;妖しのセレス;"Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed. Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party,"" Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently. With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction.";TV;24;Apr 20, 2000 to Sep 28, 2000;2000;Bandai Visual;VIZ Media, Discotek Media;Studio Pierrot;Manga;21 min. per ep.;R - 17+ (violence & profanity);26410;2182;535;2099;31162;2479;3400;53189
107;Ou Dorobou Jing;723;Adventure, Comedy, Fantasy, Sci-Fi, Shounen;Jing:King of Bandits;王ドロボウ JING;"Jing may appear to be a young boy, but his remarkable skills make him one of the most feared thieves on the planet. Along with his feathered partner Kir, Jing travels from town to town, stealing anything of value regardless of the amount of security. But when he's in a pinch, he has one more trick up his sleeve: Kir bonds with Jing's right arm to perform the effectively deadly ""Kir Royale"" attack. And because of all this, Jing is infamously known by many as the ""King of Bandits.""";TV;13;May 15, 2002 to Aug 14, 2002;2002;Aniplex;ADV Films;Studio Deen;Manga;24 min. per ep.;PG-13 - Teens 13 or older;26250;2817;210;1343;16532;1452;1714;32988
109;Bakuretsu Tenshi;681;Adventure, Comedy, Mecha, Sci-Fi;Burst Angel;爆裂天使;In Japan's not-too-distant future, crime has become so common that the government has legalised firearms for citizens to use in self-defence. To combat this new wave of wrongdoing, the Recently Armed Police of Tokyo was established in hopes of hunting down criminals with lethal force. Kyohei Tachibana is a gifted culinary student who dreams of saving up enough money to become a pastry chef in France. When four young mercenaries ask him to be their cook, he's forced into making a tough choice. As Jo, Meg, Sei, and Amy take on the bloodiest jobs in the chaotic city of Tokyo, Kyohei accepts an imminent descent into the world of crime—and he'll do a lot more than just cooking!;TV;24;Apr 7, 2004 to Sep 15, 2004;2004;GDH, TV Asahi, Imagica;Funimation;Gonzo;Original;23 min. per ep.;PG-13 - Teens 13 or older;43810;1965;257;2789;34321;3539;4492;62106
111;Corrector Yui;683;Sci-Fi, Adventure, Comedy, Magic;Corrector Yui;コレクター・ユイ;Yui is an average schoolgirl who lives in a future where all computers are supported by a single global network known as COMNET. Yui is a computer-illiterate girl who after a computer-lab accident is approached by IR, a raccoon looking corrector computer program, which tells her she must save COMNET. She must stop the rogue A.I. (Artificial Intelligence) computer program known as Grosser and his hench-programs from taking over the world. Grosser was originally designed to be that manager of all of COMNET. At first she's very reluctant to play the heroine because of her complete lack of knowledge and ability with computers. To save COMNET she must find and gain the trust of the other seven wayward corrector programs. They must also find the creator or COMNET Professor Inukai, to help stop Grosser for good. (Source: ANN);TV;52;Apr 9, 1999 to Oct 20, 2000;1999;NHK, Studio Tron;VIZ Media;Nippon Animation;Original;25 min. per ep.;PG - Children;43180;4519;50;463;6825;661;963;12222
113;Uchuu no Stellvia;738;Action, Mecha, Romance, Sci-Fi, Space;Stellvia;宇宙のステルヴィア;"The year is 2356 A.D. - 189 years after a distant supernova caused a global catastrophe that wiped out 99% of the world population. To keep track on all space activities, mankind has built colossal space stations called ""foundations"" all over the Solar System. After passing the Space Academy entrance exams, Shima Katase embarks to the Earth-based foundation Stellvia to fulfill her dream of seeing the galaxy and to prevent another interstellar catastrophe from destroying Earth. (Source: ANN)";TV;26;Apr 3, 2003 to Sep 25, 2003;2003;Starchild Records, TV Tokyo Music;Discotek Media, Geneon Entertainment USA;Xebec;Original;23 min. per ep.;PG-13 - Teens 13 or older;19800;3577;127;820;10722;957;960;20924
